package,cve_count,avg_cvss,stars,open_issues,last_updated_days,risk_score
numpy,14,6.821428571428571,31644,2337,0,53.1066
pandas,16,8.76,48217,3606,0,66.4336
requests,20,0,53895,300,0,30.5369
flask,20,6.614285714285715,71405,3,14,63.644
django,20,0,87140,439,2,30.1596
fastapi,20,6.405555555555555,96521,163,0,62.0585
keras,14,8.216666666666667,63954,276,0,59.4716
redis,20,7.75,13524,91,0,70.4878
pillow,20,7.435714285714286,13460,131,0,68.9205
boto3,1,8.6,9741,187,0,37.0228
paramiko,5,7.6000000000000005,9714,1156,21,40.4452
pyjwt,5,6.32,5627,41,6,34.2194
aiohttp,20,6.035,16406,279,0,61.745
httpx,3,8.1,15166,149,22,38.5783
uvicorn,4,5.5,10519,85,7,27.5961
pydantic,7,6.014285714285714,27320,546,0,35.1985
click,20,7.5,17381,161,8,69.1799
rich,20,0,55856,311,25,31.0059
pytest,1,6.8,13741,1013,0,27.724
black,20,7.1,41445,325,0,66.2651
flake8,0,0,3772,23,90,0
setuptools,3,7.3500000000000005,2815,637,14,36.131
wheel,20,6.633333333333333,552,12,19,68.0628
pip,20,7.5,10196,1056,0,69.4831
virtualenv,6,6.04,5018,1,0,34.7989
tox,6,6.575,3905,0,0,37.6918
coverage,20,6.35625,3337,269,1,64.7545
alembic,0,0,4025,113,17,0
pymongo,2,4.7,4344,11,0,20.2242
motor,20,0,2524,1,14,33.4758
elasticsearch,20,7.708333333333333,4373,68,0,71.2601
kafka-python,0,0,5889,44,0,0
pika,0,0,3860,42,133,0
kombu,0,0,3108,232,0,0
arrow,20,6.816666666666666,9033,131,0,66.1717
humanize,3,5.033333333333333,718,21,22,25.8944
lxml,17,7.5,3005,17,14,64.8243
scrapy,10,7.24,60950,656,4,46.7101
openai,20,6.3052631578947365,30350,350,0,62.562
anthropic,4,7.5,3003,167,0,38.5449
transformers,20,7.025,158306,2292,0,64.726
tokenizers,1,9.6,10557,160,3,42.0129
sympy,1,9.8,14503,5624,0,42.6771
lightgbm,2,8.45,18188,497,0,37.7304
opencv-python,0,0,5213,199,48,0
toml,7,7.6571428571428575,1138,136,635,58.8734
dotenv,1,8.8,37,13,409,51.0436
python-dotenv,0,0,8705,87,14,0
configparser,0,0,63,0,188,0.1613
loguru,1,4.3,23725,248,2,14.7896
sentry-sdk,1,5.3,2161,338,0,21.8307
twilio,10,6.877777777777777,2051,53,12,48.005
sendgrid,9,6.333333333333333,1626,62,185,46.9444
easydict,0,0,311,23,614,7.2945
bunch,16,6.508333333333333,494,14,519,69.5342
attrdict,0,0,275,17,2606,47.2413
addict,1,0,2547,25,1311,21.4079
munch,2,0,782,14,656,11.3336
ptyprocess,0,0,236,20,249,0.2342
plumbum,0,0,3029,141,9,0
tabulate,1,6.1,2537,65,12,25.9314
texttable,0,0,361,0,902,12.925
terminaltables,0,0,48,2,313,2.8975
colorama,0,0,3773,133,257,0
termcolor,0,0,318,5,76,0
blessed,1,0,1427,2,16,0
alive-progress,0,0,6259,17,164,0
retry,20,6.1875,753,48,626,77.7039
tenacity,1,6.5,8478,33,0,26.6434
backoff,20,7.075,2700,64,689,82.2923
cachetools,0,0,2717,1,0,0
diskcache,1,9.8,2848,70,590,55.8909
dogpile.cache,0,0,292,49,70,0
wrapt,0,0,2277,47,17,0
boltons,0,0,6860,70,16,0
more-itertools,0,0,4043,18,6,0
funcy,0,0,3502,12,14,0
pyrsistent,0,0,2176,32,51,0
construct,20,0,998,33,335,40.7017
bitstruct,0,0,131,14,34,0
bitarray,0,0,780,8,14,0
pyserial,0,0,3518,330,24,0
hidapi,0,0,324,11,7,0
usb,20,0,11,9,1131,60.5372
geocoder,1,9.8,1651,124,702,58.6045
geopy,0,0,4785,50,55,0
shapely,1,9.8,4401,221,13,43.9729
qrcode,7,5.166666666666667,4872,46,3,32.5179
barcode,20,0,7,0,826,54.8298
zxing,0,0,134,7,24,0
pycparser,0,0,3527,31,0,0
lark,0,0,5810,137,17,0
dill,4,8.8,2432,200,58,46.3881
cloudpickle,6,7.316666666666667,1905,103,138,44.7835
joblib,4,8.25,4332,429,20,42.3766
natsort,0,0,1008,3,234,0
fuzzywuzzy,0,0,9264,106,1123,14.5264
thefuzz,0,0,3596,43,385,0.5884
rapidfuzz,0,0,3800,32,0,0
chardet,0,0,2500,2,0,0
xmltodict,1,0,5727,1,0,0
dicttoxml,0,0,390,26,1186,18.5379
flatten-dict,0,0,185,5,1437,24.2057
schedule,20,0,12247,177,667,45.1639
pyperclip,0,0,1822,135,178,0
pyautogui,0,0,12384,577,580,3.4143
keyboard,20,0,3976,418,642,45.6411
mouse,20,0,961,94,622,46.4746
psutil,2,5.15,11116,365,0,21.6581
py-cpuinfo,0,0,340,54,731,9.557
gputil,0,0,1213,35,709,8.0123
pywin32,1,6.5,5536,396,24,27.4936
fabric,20,0,15411,500,246,36.5443
invoke,20,0,4720,441,1,32.6721
doit,5,5.966666666666666,2034,92,39,33.9966
mkdocs,5,6.94,21889,142,154,39.0995
pdoc,1,7.2,2475,58,22,31.6528
